BAIRROS,VALOR,MES,ANO,N_DORMITORIOS,DATA,LONGITUDE,LATITUDE 
ACLIMAÇÃO,8664.17024018373,JANEIRO,2018,1,2018-01-01,-46.6309,-23.5714
ACLIMAÇÃO,8812.46377998856,JANEIRO,2019,1,2019-01-01,-46.6309,-23.5714
ACLIMAÇÃO,8999.011404775025,FEVEREIRO,2018,1,2018-02-01,-46.6309,-23.5714
ACLIMAÇÃO,8799.872691265033,FEVEREIRO,2019,1,2019-02-01,-46.6309,-23.5714
ACLIMAÇÃO,8967.479699845979,MARCO,2018,1,2018-03-01,-46.6309,-23.5714
ACLIMAÇÃO,8782.690307508346,MARCO,2019,1,2019-03-01,-46.6309,-23.5714
ACLIMAÇÃO,8995.40650813548,ABRIL,2018,1,2018-04-01,-46.6309,-23.5714
ACLIMAÇÃO,8776.635990885487,ABRIL,2019,1,2019-04-01,-46.6309,-23.5714
ACLIMAÇÃO,9002.99992976907,MAIO,2018,1,2018-05-01,-46.6309,-23.5714
ACLIMAÇÃO,8795.453643436293,MAIO,2019,1,2019-05-01,-46.6309,-23.5714
ACLIMAÇÃO,9286.128051251984,JUNHO,2018,1,2018-06-01,-46.6309,-23.5714
ACLIMAÇÃO,8711.7138901736,JUNHO,2019,1,2019-06-01,-46.6309,-23.5714
ACLIMAÇÃO,9275.21252867959,JULHO,2018,1,2018-07-01,-46.6309,-23.5714
ACLIMAÇÃO,8617.740119366228,JULHO,2019,1,2019-07-01,-46.6309,-23.5714
ACLIMAÇÃO,9274.628178883298,AGOSTO,2018,1,2018-08-01,-46.6309,-23.5714
ACLIMAÇÃO,8487.923347804812,AGOSTO,2019,1,2019-08-01,-46.6309,-23.5714
ACLIMAÇÃO,9002.959176127362,SETEMBRO,2018,1,2018-09-01,-46.6309,-23.5714
ACLIMAÇÃO,8470.559294730016,SETEMBRO,2019,1,2019-09-01,-46.6309,-23.5714
ACLIMAÇÃO,8967.138884137983,OUTUBRO,2018,1,2018-10-01,-46.6309,-23.5714
ACLIMAÇÃO,8496.39669220666,OUTUBRO,2019,1,2019-10-01,-46.6309,-23.5714
ACLIMAÇÃO,8913.18894581216,NOVEMBRO,2018,1,2018-11-01,-46.6309,-23.5714
ACLIMAÇÃO,8474.530817932537,NOVEMBRO,2019,1,2019-11-01,-46.6309,-23.5714
ACLIMAÇÃO,8867.178567206589,DEZEMBRO,2018,1,2018-12-01,-46.6309,-23.5714
ACLIMAÇÃO,8463.918697557148,DEZEMBRO,2019,1,2019-12-01,-46.6309,-23.5714
ACLIMAÇÃO,7699.847638974641,JANEIRO,2018,2,2018-01-01,-46.6309,-23.5714
ACLIMAÇÃO,7585.179399755828,JANEIRO,2019,2,2019-01-01,-46.6309,-23.5714
ACLIMAÇÃO,7645.185826903676,FEVEREIRO,2018,2,2018-02-01,-46.6309,-23.5714
ACLIMAÇÃO,7645.261803227098,FEVEREIRO,2019,2,2019-02-01,-46.6309,-23.5714
ACLIMAÇÃO,7464.108685979513,MARCO,2018,2,2018-03-01,-46.6309,-23.5714
ACLIMAÇÃO,7725.509839775717,MARCO,2019,2,2019-03-01,-46.6309,-23.5714
ACLIMAÇÃO,7512.648012914191,ABRIL,2018,2,2018-04-01,-46.6309,-23.5714
ACLIMAÇÃO,7741.222375465549,ABRIL,2019,2,2019-04-01,-46.6309,-23.5714
ACLIMAÇÃO,7585.623778099988,MAIO,2018,2,2018-05-01,-46.6309,-23.5714
ACLIMAÇÃO,7718.627459830072,MAIO,2019,2,2019-05-01,-46.6309,-23.5714
ACLIMAÇÃO,7948.548959645091,JUNHO,2018,2,2018-06-01,-46.6309,-23.5714
ACLIMAÇÃO,7698.10988767532,JUNHO,2019,2,2019-06-01,-46.6309,-23.5714
ACLIMAÇÃO,7966.213107432873,JULHO,2018,2,2018-07-01,-46.6309,-23.5714
ACLIMAÇÃO,7632.92694432462,JULHO,2019,2,2019-07-01,-46.6309,-23.5714
ACLIMAÇÃO,7973.765891875802,AGOSTO,2018,2,2018-08-01,-46.6309,-23.5714
